frequency_eV,xx_gt,yy_gt,zz_gt,xx_pred,yy_pred,zz_pred
1.5498024225234985,1836.5618,525.0299,285.65884,1813.108,481.7743,277.78204
1.5691750049591064,1866.9011,525.5521,285.8291,1849.47,448.65555,263.9664
1.5885474681854248,1898.9636,526.0853,286.001,1784.4185,490.38272,305.1704
1.6079200506210327,1932.9023,526.6298,286.17456,1724.537,524.9655,303.83954
1.6272926330566406,1968.8888,527.18616,286.3498,1754.9207,516.56573,317.366
1.646665096282959,2007.1163,527.7548,286.52676,1821.987,488.86786,304.7129
1.666037678718567,2047.8035,528.33636,286.7055,1823.1039,514.6351,354.31042
1.6854101419448853,2091.1978,528.9314,286.88605,2049.243,424.63184,244.26218
1.7047827243804932,2137.5815,529.5405,287.0684,1976.2751,480.78403,278.3415
1.7241551876068115,2187.2773,530.16455,287.25262,2030.3037,427.36383,351.73175
1.7435277700424194,2240.6562,530.80414,287.43878,1907.6777,544.47614,409.30753
1.7629003524780273,2298.146,531.4603,287.6269,2196.7446,439.75208,281.2793
1.7822728157043457,2360.2432,532.134,287.817,1981.5114,580.5721,415.7341
1.8016453981399536,2427.527,532.8263,288.00912,2036.1292,596.39905,426.56763
1.821017861366272,2500.6775,533.53845,288.20337,2126.1152,613.2794,368.8943
1.8403904438018799,2580.4966,534.2719,288.3997,2310.984,516.77374,336.83997
1.8597629070281982,2667.9373,535.0284,288.5982,2469.7769,517.2406,251.48369
1.8791354894638062,2764.1404,535.80975,288.79892,2754.5884,419.61694,166.67413
1.8985079526901245,2870.4805,536.6183,289.0019,2934.1375,450.37256,94.484955
1.9178805351257324,2988.6272,537.4567,289.20715,2815.4604,509.9119,229.86493
1.9372531175613403,3120.6257,538.32825,289.41473,2767.12,529.4362,262.3328
1.9566255807876587,3269.0007,539.23676,289.62466,2899.3774,442.35394,229.69843
1.9759981632232666,3436.898,540.18713,289.83694,2976.612,452.78424,176.60017
1.995370626449585,3628.266,541.18536,290.05157,2902.3857,501.82663,238.43472
2.0147430896759033,3848.099,542.23895,290.26852,3250.8188,411.98334,88.28244
2.034115791320801,4102.7393,543.3576,290.48764,3467.9746,404.7074,69.40317
2.053488254547119,4400.235,544.5536,290.7088,3779.5083,460.64316,63.626938
2.0728607177734375,4750.662,545.8428,290.9316,4091.6,569.8336,170.98442
2.092233419418335,5166.119,547.245,291.15546,4543.4507,677.18665,250.34052
2.1116058826446533,5659.4287,548.78394,291.37924,4971.5684,775.42896,353.55743
2.1309783458709717,6238.5825,550.4822,291.6009,5352.5674,879.4912,396.87387
2.15035080909729,6887.808,552.34186,291.81665,6012.1,769.1554,175.50854
2.1697235107421875,7507.961,554.2766,292.01965,6254.956,646.9874,-6.206909
2.189095973968506,7747.233,555.90314,292.19894,5832.26,564.25464,-137.75739
2.208468437194824,6673.737,556.0887,292.34647,4369.122,638.04346,3.384552
2.2278409004211426,3039.499,553.08527,292.4936,2179.2896,813.6937,262.89066
2.24721360206604,-2018.6791,547.8483,292.72888,-474.61145,973.322,644.0351
2.2665860652923584,-5110.567,544.614,293.0621,-2478.0518,909.4249,804.8982
2.2859585285186768,-5814.616,544.3423,293.41556,-3529.187,705.898,663.9139
2.305331230163574,-5445.916,545.573,293.75253,-4034.5186,552.12463,498.42017
2.3247036933898926,-4799.345,547.30426,294.07294,-3811.0107,342.46167,329.2183
2.344076156616211,-4155.2188,549.14703,294.38354,-3444.7905,258.74023,198.14473
2.3634486198425293,-3587.684,550.9808,294.6898,-2677.8848,208.36572,64.909744
2.3828213214874268,-3104.912,552.77893,294.9952,-2167.252,342.34683,53.48909
2.402193784713745,-2696.982,554.54504,295.30206,-2022.3966,556.0353,261.02582
2.4215662479400635,-2350.8757,556.2911,295.61185,-1673.6185,599.38354,266.8885
2.440938949584961,-2054.761,558.0303,295.92563,-1421.6735,608.3521,296.7391
2.4603114128112793,-1798.8888,559.77484,296.24417,-1162.579,578.4356,286.22952
2.4796838760375977,-1575.4854,561.5358,296.5681,-1028.381,623.4381,267.40063
2.499056339263916,-1378.4043,563.3231,296.89804,-872.9188,592.173,232.21179
2.5184290409088135,-1202.7734,565.1458,297.2344,-753.64343,557.5331,231.89777
2.537801504135132,-1044.6993,567.0124,297.57773,-669.17883,562.27057,226.40128
2.55717396736145,-901.0348,568.9311,297.92844,-569.91736,563.64185,225.07907
2.5765466690063477,-769.2005,570.91016,298.28702,-286.76697,474.64056,139.30574
2.595919132232666,-647.04785,572.9581,298.65396,-117.430786,476.264,143.20686
2.6152915954589844,-532.75336,575.0839,299.02975,-60.26648,483.35034,171.78989
2.6346640586853027,-424.7354,577.2973,299.41495,1.4876709,511.1342,168.3953
2.6540367603302,-321.58682,579.60895,299.81006,102.4884,547.436,184.79233
2.6734092235565186,-222.0184,582.03107,300.2157,267.41394,497.88104,168.78685
2.692781686782837,-124.808815,584.5774,300.63248,313.86316,540.44385,207.99274
2.7121541500091553,-28.757414,587.264,301.06104,363.02783,582.17004,245.32465
2.7315268516540527,67.363594,590.1098,301.502,357.5564,661.9136,260.9184
2.750899314880371,164.86104,593.1374,301.9561,569.16895,579.2672,220.88298
2.7702717781066895,265.18066,596.3741,302.42392,631.9215,582.16064,209.30801
2.789644479751587,369.97946,599.85333,302.9062,709.4331,582.7845,243.62642
2.8090169429779053,481.21497,603.6165,303.40344,715.1586,651.3464,275.09015
2.8283894062042236,601.25464,607.71564,303.9161,798.4943,687.13776,308.3893
2.847761869430542,733.00134,612.21594,304.44437,1029.2886,680.4818,241.1984
2.8671345710754395,880.0068,617.19934,304.98804,1069.928,711.0294,267.13934
2.886507034301758,1046.4703,622.7661,305.54636,1406.694,573.71094,75.82767
2.905879497528076,1236.7894,629.0293,306.1178,1391.9758,614.78033,57.90811
2.9252521991729736,1453.6233,636.0832,306.70035,1624.5262,450.0326,-95.591675
2.944624662399292,1691.2482,643.8855,307.29327,1375.9246,557.4403,-18.815186
2.9639971256256104,1914.5311,651.867,307.90515,1341.1185,434.91812,-88.83237
2.9833695888519287,1999.4602,657.7866,308.5828,718.33167,626.4608,140.60136
3.002742290496826,1624.1143,655.502,309.4834,236.76428,741.333,280.03107
3.0221147537231445,399.50476,637.0116,310.88477,-184.6919,808.57916,425.15436
3.041487216949463,-1199.9757,610.4552,312.72647,-516.5199,870.4916,477.21472
3.0608599185943604,-2098.496,596.86096,314.4647,-1022.3937,990.58325,622.0805
3.0802323818206787,-2258.7788,598.02966,315.9416,-1412.6849,1051.9012,721.72815
3.099604845046997,-2107.9395,606.1546,317.3287,-1164.2994,855.8228,505.4231
3.1189773082733154,-1882.5994,616.7412,318.76712,-1160.4608,790.8421,465.6901
3.138350009918213,-1663.2935,628.3027,320.33176,-1178.8632,848.98193,464.56152
3.1577224731445312,-1470.489,640.59265,322.06686,-972.54895,839.4062,443.2282
3.1770949363708496,-1305.8339,653.8206,324.0065,-780.89856,817.01697,377.69104
3.196467399597168,-1166.0083,668.38354,326.18118,-743.2842,851.04565,455.60532
3.2158401012420654,-1047.0286,684.755,328.61783,-526.7283,847.0476,412.44922
3.235212564468384,-945.45404,703.3251,331.33594,-567.6666,923.6576,512.4635
3.254585027694702,-858.53455,723.9027,334.34607,-348.0625,850.4901,458.85605
3.2739577293395996,-783.7061,744.24536,337.67493,-388.3689,869.57794,482.0529
3.293330192565918,-717.02094,756.8362,341.44022,-265.46655,791.41364,451.20068
3.3127026557922363,-650.8815,746.9644,345.5939,-192.44336,741.36426,436.83054
3.3320751190185547,-577.59454,706.0617,347.33047,16.01233,627.56036,321.88873
3.351447820663452,-502.49655,653.78357,336.43457,-211.21362,719.2998,404.80658
3.3708202838897705,-440.04343,621.06683,305.21283,-69.19946,658.2363,310.80396
3.390192747116089,-389.9184,617.58234,272.47498,-217.81482,730.17236,398.99768
3.4095654487609863,-341.35898,630.62537,257.89575,-97.70178,659.4633,380.4317
3.4289379119873047,-291.8737,648.2362,257.08685,57.88391,619.85156,277.66852
3.448310375213623,-245.63174,665.32556,261.4436,-94.82739,672.9983,371.21307
3.4676828384399414,-213.26228,676.7569,266.60587,-202.58301,686.5983,387.24698
3.487055540084839,-217.80508,671.7531,270.54456,-164.62122,650.93744,380.85608
3.5064280033111572,-277.6093,641.2197,272.3555,-143.19641,644.6198,377.4363
3.5258004665374756,-347.111,606.11145,273.30112,-124.94238,650.0121,412.8528
3.545173168182373,-367.4178,594.75214,275.1749,-142.16138,684.4795,414.71112
3.5645456314086914,-348.203,603.2778,277.8154,-115.49756,686.1235,430.10712
3.5839180946350098,-314.93033,619.84485,280.56924,-76.91968,661.1614,404.38452
3.603290557861328,-279.71317,638.7332,283.14487,-106.177124,720.681,386.41342
3.6226632595062256,-246.33493,658.1748,285.47842,-4.350342,670.08307,364.24155
3.642035722732544,-215.56763,677.8717,287.58374,-26.633423,675.0401,416.89362
3.6614081859588623,-187.27437,697.99866,289.49326,143.06262,642.4066,294.0661
3.6807806491851807,-161.09598,718.87427,291.23932,140.08618,635.0128,298.62582
3.700153350830078,-136.6574,740.86426,292.84912,151.76721,662.6149,322.3765
3.7195258140563965,-113.621895,764.3621,294.34378,123.13928,688.99756,344.64932
3.738898277282715,-91.70062,789.8024,295.73843,108.49695,695.1088,363.11414
3.7582709789276123,-70.65418,817.7004,297.0435,67.08679,666.05536,356.9707
3.7776434421539307,-50.29965,848.73303,298.2676,-108.69116,674.7415,434.5226
3.797015905380249,-30.523643,883.86304,299.4254,74.47107,574.5011,288.40292
3.8163883686065674,-11.279238,924.3705,300.5516,8.116089,556.3143,328.212
3.835761070251465,7.4844027,971.1857,301.7149,85.09143,531.4239,252.9975
3.855133533477783,25.972523,1021.951,303.00336,113.92261,557.9491,285.4362
3.8745059967041016,44.56301,1063.1016,304.4414,71.63464,605.1805,332.4133
3.893878698348999,63.15869,1055.0094,305.8172,159.69897,570.54456,288.4945
3.9132511615753174,79.51449,927.6,306.5108,109.48987,622.6108,312.02832
3.9326236248016357,89.254555,665.53815,305.96414,230.42194,563.7314,276.22665
3.951996088027954,92.76426,425.82635,304.9714,203.466,587.4789,306.9072
3.9713687896728516,96.20158,340.33386,304.74265,79.801636,650.3441,378.00708
3.99074125289917,102.26733,355.90924,305.08667,188.5459,594.62775,307.22604
4.010113716125488,110.79206,382.99274,305.3222,196.76013,593.6032,325.9801
4.029486179351807,122.18648,404.3421,305.50156,258.47168,566.6189,297.4941
4.048858642578125,136.34297,435.91556,305.91016,251.362,572.9838,317.28116
4.068231582641602,151.76878,475.9538,306.50854,272.10022,616.3945,305.28534
4.08760404586792,163.82486,498.89014,307.0455,394.1256,548.9708,301.74042
4.106976509094238,160.74841,451.78015,307.42307,256.71375,620.20905,365.48383
4.126348972320557,138.29707,327.96762,307.00366,370.23877,561.8184,365.39658
4.145721435546875,127.71086,264.52597,306.43777,283.26343,615.1072,373.5276
4.165093898773193,129.41371,264.97888,306.66113,338.74286,589.8877,342.41403
4.184466361999512,136.34468,292.4251,307.1806,342.42023,570.28973,374.54932
4.203839302062988,144.15556,326.55917,307.78586,404.29694,544.67285,344.15558
4.223211765289307,150.94696,359.3705,308.48962,361.9674,555.1077,347.1859
4.242584228515625,156.13155,386.84033,309.476,275.85205,613.876,384.47113
4.261956691741943,160.65509,405.8921,311.0976,144.42334,676.8537,470.66467
4.281329154968262,168.19449,415.61075,313.62726,144.70374,633.45166,460.13107
4.30070161819458,183.81389,418.65625,316.09943,398.39124,511.4333,285.96692
4.320074081420898,200.37,404.26593,314.81366,267.7556,564.77856,389.3966
4.339446544647217,197.28024,351.3693,310.6,465.9615,467.37512,278.1849
4.358819484710693,194.95305,311.98175,311.0301,337.10052,548.4089,294.51294
4.378191947937012,207.02748,309.57965,314.03574,364.55286,521.99915,292.00992
4.39756441116333,225.49077,327.55737,316.61932,321.08557,547.2655,295.99295
4.416936874389648,243.14009,354.67648,317.7598,492.36096,483.45383,202.90344
4.436309337615967,253.21927,383.38138,316.90375,385.3365,556.70135,298.3051
4.455681800842285,250.97873,404.3182,314.39374,403.7837,516.2834,292.1493
4.4750542640686035,242.54239,412.5554,312.22455,383.1548,541.70013,298.8939
4.49442720413208,239.78015,414.8674,311.87027,366.29773,521.78375,323.53952
4.513799667358398,245.92935,419.1015,312.8645,264.739,553.5741,364.38257
4.533172130584717,258.07278,427.47855,314.3277,369.9477,544.19507,283.0851
4.552544593811035,272.93225,439.61667,315.7995,277.0503,553.0934,370.05133
4.5719170570373535,287.3022,454.83987,317.15613,302.21527,540.86224,349.88937
4.591289520263672,296.382,472.12885,318.47864,212.44385,625.4669,389.76617
4.61066198348999,294.47208,488.8612,319.97043,356.5973,550.96185,338.2098
4.630034923553467,283.22726,501.47916,321.68842,521.14545,465.89264,282.11877
4.649407386779785,274.4978,510.03323,323.34415,390.00012,580.6165,358.12433
4.6687798500061035,275.20782,517.57623,324.7239,345.4817,589.42096,392.31586
4.688152313232422,283.1763,525.1381,325.97763,449.18555,541.81146,383.9484
4.70752477645874,294.4313,530.43866,327.599,380.60748,605.49396,416.46985
4.726897239685059,307.83087,529.8204,330.17075,449.3462,607.7263,391.5213
4.746269702911377,327.4062,530.3477,332.19067,612.4208,512.4462,306.5335
4.7656426429748535,350.3523,539.7907,332.0103,489.60034,532.1305,378.45767
4.785015106201172,369.4224,547.17224,331.49536,544.273,531.6689,306.52975
4.80438756942749,381.4715,546.15857,331.82758,495.30896,527.1599,381.85916
4.823760032653809,384.0586,537.0861,333.43738,563.8537,530.8045,325.53455
4.843132495880127,377.27594,525.5952,336.34326,533.4976,562.1184,362.15903
4.862504959106445,366.28772,520.677,339.9229,637.3685,518.6714,333.59882
4.881877422332764,359.0975,528.9913,343.1146,546.648,583.02246,381.7967
4.90125036239624,362.14352,551.4883,344.88617,541.81055,571.71515,357.55383
4.920622825622559,379.22583,584.23425,344.24716,601.3912,541.2744,345.3454
4.939995288848877,411.19913,615.84644,340.02917,569.7965,549.0026,378.87714
4.959367752075195,444.0219,616.0805,332.84985,530.4285,541.71277,374.94815
4.978740215301514,434.68546,563.5672,331.18674,555.23035,558.0208,348.3974
4.998112678527832,389.9174,527.6382,339.6106,426.6278,604.66455,386.0655
5.01748514175415,362.09515,545.23254,348.4765,446.86957,534.93713,379.94577
5.036858081817627,357.93335,589.06226,353.42593,549.84717,481.6035,330.5473
5.056230545043945,369.70938,638.4678,354.3593,398.04474,573.9402,374.14633
5.075603008270264,394.21725,674.6541,350.91074,418.34894,550.6569,370.7063
5.094975471496582,429.3267,658.70544,342.97797,575.3177,495.8204,285.41132
5.1143479347229,461.5307,545.5706,335.8427,462.79785,537.9396,357.8975
5.133720397949219,469.72415,398.43494,339.58676,417.59094,598.9603,365.3254
5.153092861175537,463.13358,334.8309,351.4851,611.5727,500.94385,259.1794
5.172465801239014,461.79837,347.78424,362.49896,458.54846,546.57495,332.83414
5.191838264465332,470.9621,392.08472,369.45038,545.4696,527.3422,291.8487
5.21121072769165,489.34366,445.15732,371.3448,522.778,546.6178,293.3756
5.230583190917969,511.50778,495.67365,366.0255,493.42175,569.3028,310.09546
5.249955654144287,515.77484,524.42206,352.92422,494.7348,562.70087,347.2665
5.2693281173706055,473.9075,516.1348,348.51657,483.11536,615.61975,344.896
5.288700580596924,434.1924,518.1796,365.1147,696.6881,518.85016,267.01913
5.308073043823242,432.27344,551.9265,383.11954,565.7484,575.7469,378.9866
5.327445983886719,450.0882,597.97144,393.4542,516.2422,630.2789,361.1148
5.346818447113037,474.62573,643.14355,394.7673,610.136,573.7256,345.2547
5.3661909103393555,499.41956,674.95166,384.33127,600.8338,565.5843,342.48547
5.385563373565674,517.3046,675.6794,361.0127,612.66724,558.4033,340.68933
5.404935836791992,523.37695,643.7089,336.8726,669.1322,599.19104,282.50354
5.4243083000183105,525.7368,616.14606,330.51022,722.80634,571.01874,298.5665
5.443680763244629,535.0973,619.0709,340.46875,718.4236,607.85974,286.50824
5.4630537033081055,552.1279,643.93695,354.9807,654.45667,652.9532,351.81427
5.482426166534424,573.3428,676.5293,367.4964,611.28503,696.0894,389.63086
5.501798629760742,595.6571,708.10974,375.8429,773.38434,604.2776,372.79633
5.5211710929870605,616.67426,733.6848,379.23566,680.3444,665.272,393.15945
5.540543556213379,634.6553,750.76294,377.44824,883.65356,573.0307,300.5796
5.559916019439697,649.8396,761.1258,371.6576,720.1642,671.8729,380.2959
5.579288482666016,666.6376,773.1057,365.70743,715.6641,681.3616,376.0938
5.598661422729492,691.92175,795.97235,364.32776,710.8589,664.5873,383.74695
5.6180338859558105,727.5156,827.4224,368.0772,758.5734,650.4867,365.4082
5.637406349182129,767.983,854.0758,372.94635,793.5676,623.73566,348.76355
5.656778812408447,806.42786,863.1093,374.8437,714.7045,673.347,363.26837
5.676151275634766,838.1169,847.1426,371.85202,532.1227,766.8807,476.4423
5.695523738861084,859.951,803.26056,364.20807,701.59424,700.42786,380.63098
5.714896202087402,868.76135,734.88306,355.29373,760.31696,652.8202,362.0177
5.734269142150879,862.68823,664.573,353.859,697.35065,634.09717,399.05328
5.753641605377197,853.94586,628.85077,362.64017,590.2,676.6928,432.9974
5.773014068603516,860.30707,617.85913,367.27075,675.8355,644.9282,318.807
